species,circRNA name,Position,Function,Gene,Gene Description,PMID
Homo sapiens,hsa_circRNA_101309,chr13:114188359-114193822,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],TMCO3,transmembrane and coiled-coil domains 3,27465405;28206972
Homo sapiens,hsa_circRNA_101320,chr14:23395341-23396023,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)],PRMT5,protein arginine methyltransferase 5,27465405;28368401
Homo sapiens,hsa_circRNA_101328,-,Cell aging [differential expression (C1 (CD28(+)CD8(+) vs. CD28(-)CD8(+)T cells in the elderly) vs. C4 (CD28(-)CD8(+)T cells in the elderly vs. in the adult)],-,-,26451160
Homo sapiens,hsa_circRNA_101368,-,Liver cancer [differential expression (liver cancer cases vs. normal controls)],FUT8,fucosyltransferase 8,28727484
Homo sapiens,hsa_circRNA_101369,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_101370,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_101372,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),28368401
Homo sapiens,hsa_circRNA_101387,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PCNX1,pecanex homolog 1,28368401
Homo sapiens,hsa_circRNA_101396,-,Leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)],-,-,28677780
Homo sapiens,hsa_circRNA_101404,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NEK9,NIMA related kinase 9,28368401
Homo sapiens,hsa_circRNA_101407,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NEK9,NIMA related kinase 9,28368401
Homo sapiens,hsa_circRNA_101409,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],TTLL5,tubulin tyrosine ligase like 5,28368401
Homo sapiens,hsa_circRNA_101418,chr14:81297486-81307112,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],CEP128,centrosomal protein 128,27465405
Homo sapiens,hsa_circRNA_101419,chr14:81837331-81837529,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)],STON2,stonin 2,27465405;28206972
Homo sapiens,hsa_circRNA_101440,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma,28368401
Homo sapiens,hsa_circRNA_101465,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],OCA2,OCA2 melanosomal transmembrane protein,28368401
Homo sapiens,hsa_circRNA_101467,chr15:30053341-30065560,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],TJP1,tight junction protein 1,27465405
Homo sapiens,hsa_circRNA_101468,chr15:30053341-30092905,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],TJP1,tight junction protein 1,27465405
Homo sapiens,hsa_circRNA_101470,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101471,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_101491,chr15:42103080-42105299,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],MAPKBP1,mitogen-activated protein kinase binding protein 1,27465405
Homo sapiens,hsa_circRNA_101509,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SPG11,"SPG11, spatacsin vesicle trafficking associated",28368401
Homo sapiens,hsa_circRNA_101531,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_101555,-,Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)],CSNK1G1,casein kinase 1 gamma 1,28349836
Homo sapiens,hsa_circRNA_101575,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PIAS1,protein inhibitor of activated STAT 1,28368401
Homo sapiens,hsa_circRNA_101618,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ZFAND6,zinc finger AN1-type containing 6,28368401
Homo sapiens,hsa_circRNA_101630,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101644,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],C15orf38-AP3S2,C15orf38-AP3S2 readthrough,28368401
Homo sapiens,hsa_circRNA_101645,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_101661,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],LRRK1,leucine rich repeat kinase 1,28368401
Homo sapiens,hsa_circRNA_101684,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],RNPS1,RNA binding protein with serine rich domain 1,28368401
Homo sapiens,hsa_circRNA_101704,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],LITAF,lipopolysaccharide induced TNF factor,28368401
Homo sapiens,hsa_circRNA_101722,chr16:16146580-16150152,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_101725,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ABCC1,ATP binding cassette subfamily C member 1,28368401
Homo sapiens,hsa_circRNA_101740,chr16:19619499-19628130,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],C16orf62,chromosome 16 open reading frame 62,27606420;28368401
Homo sapiens,hsa_circRNA_101743,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],C16orf62,chromosome 16 open reading frame 62,28368401
Homo sapiens,hsa_circRNA_101744,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; diabetic retinopathy [differential expression (type 2 diabetes mellitus with proliferative diabetic retinopathy sample vs. either the type 2 diabetes mellitus without diabetic retinopathy or control samples)],C16orf62,chromosome 16 open reading frame 62,28368401;28817829
Homo sapiens,hsa_circRNA_101759,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",28368401
Homo sapiens,hsa_circRNA_101765,-,Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)],PRKCB,protein kinase C beta,28349836
Homo sapiens,hsa_circRNA_101798,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)],-,-,28520103
Homo sapiens,hsa_circRNA_101800,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_101803,chr16:47143393-47165936,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NETO2,neuropilin and tolloid like 2,27606420;28368401
Homo sapiens,hsa_circRNA_101820,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159;28624198
Homo sapiens,hsa_circRNA_101837,-,Hepatic steatosis [differential expression (normal vs. model groups)],-,-,28717649
Homo sapiens,hsa_circRNA_101839,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SLC7A6,solute carrier family 7 member 6,28368401
Homo sapiens,hsa_circRNA_101846,chr16:68893786-68896964,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_101850,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159;28624198
Homo sapiens,hsa_circRNA_101852,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SNTB2,syntrophin beta 2,28368401
Homo sapiens,hsa_circRNA_101853,-,Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)],SNTB2,syntrophin beta 2,28349836
Homo sapiens,hsa_circRNA_101861,chr16:70294946-70302282,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_101873,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101877,chr16:74670243-74671868,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],RFWD3,ring finger and WD repeat domain 3,27465405;27606420
Homo sapiens,hsa_circRNA_101879,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101882,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_101885,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PLCG2,phospholipase C gamma 2,28368401
Homo sapiens,hsa_circRNA_101886,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159;28624198
Homo sapiens,hsa_circRNA_101905,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ACSF3,acyl-CoA synthetase family member 3,28368401
Homo sapiens,hsa_circRNA_101906,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)],-,-,28520103
Homo sapiens,hsa_circRNA_101909,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_101911,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],FANCA,Fanconi anemia complementation group A,28368401
Homo sapiens,hsa_circRNA_101914,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159;28624198
Homo sapiens,hsa_circRNA_101915,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101934,-,Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)],YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,28349836
Homo sapiens,hsa_circRNA_101945,chr17:2195845-2196271,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_101948,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ZZEF1,zinc finger ZZ-type and EF-hand domain containing 1,28368401
Homo sapiens,hsa_circRNA_101967,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PIMREG,PICALM interacting mitotic regulator,28368401
Homo sapiens,hsa_circRNA_101975,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_101978,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NDEL1,nudE neurodevelopment protein 1 like 1,28368401
Homo sapiens,hsa_circRNA_102003,chr17:20910208-20914622,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],USP22,ubiquitin specific peptidase 22,27465405
Homo sapiens,hsa_circRNA_102004,-,hsa_circRNA_102004 is a potential oncogenic gene that regulates the development and progression of prostate cancer; gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],USP22,ubiquitin specific peptidase 22,28206972;30219508
Homo sapiens,hsa_circRNA_102005,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],USP22,ubiquitin specific peptidase 22,28368401
Homo sapiens,hsa_circRNA_102021,-,Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)],SSH2,slingshot protein phosphatase 2,28349836
Homo sapiens,hsa_circRNA_102031,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)],SUZ12,SUZ12 polycomb repressive complex 2 subunit,28368401;28624198
Homo sapiens,hsa_circRNA_102034,-,Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)],RHOT1,ras homolog family member T1,28349836
Homo sapiens,hsa_circRNA_102041,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102046,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ACACA,acetyl-CoA carboxylase alpha,28368401
Homo sapiens,hsa_circRNA_102051,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],-,-,28710406
Homo sapiens,hsa_circRNA_102061,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],MED1,mediator complex subunit 1,28368401
Homo sapiens,hsa_circRNA_102069,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NT5C3B,"5'-nucleotidase, cytosolic IIIB",28368401
Homo sapiens,hsa_circRNA_102101,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102116,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102119,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102126,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102146,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",26931159;28368401;28624198
Homo sapiens,hsa_circRNA_102150,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],INTS2,integrator complex subunit 2,28368401
Homo sapiens,hsa_circRNA_102166,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],TEX2,testis expressed 2,28368401
Homo sapiens,hsa_circRNA_102167,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],CEP95,centrosomal protein 95,28368401
Homo sapiens,hsa_circRNA_102171,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SMURF2,SMAD specific E3 ubiquitin protein ligase 2,28368401
Homo sapiens,hsa_circRNA_102191,chr17:73142760-73144766,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)],JPT1,Jupiter microtubule associated homolog 1,27465405;28206972
Homo sapiens,hsa_circRNA_102220,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],-,-,28710406
Homo sapiens,hsa_circRNA_102225,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NPLOC4,"NPL4 homolog, ubiquitin recognition factor",26931159;28368401;28624198
Homo sapiens,hsa_circRNA_102226,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],NPLOC4,"NPL4 homolog, ubiquitin recognition factor",28368401
Homo sapiens,hsa_circRNA_102233,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102239,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],FOXK2,forkhead box K2,28368401
Homo sapiens,hsa_circRNA_102241,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159;28624198
Homo sapiens,hsa_circRNA_102264,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],TBCD,tubulin folding cofactor D,28368401
Homo sapiens,hsa_circRNA_102265,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],TBCD,tubulin folding cofactor D,28368401
Homo sapiens,hsa_circRNA_102285,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],-,-,28710406
Homo sapiens,hsa_circRNA_102292,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PTPRM,"protein tyrosine phosphatase, receptor type M",28368401
Homo sapiens,hsa_circRNA_102294,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ANKRD12,ankyrin repeat domain 12,28368401
Homo sapiens,hsa_circRNA_102306,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],CEP192,centrosomal protein 192,28368401
Homo sapiens,hsa_circRNA_102333,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ZNF521,zinc finger protein 521,28368401
Homo sapiens,hsa_circRNA_102367,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102399,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]; liver cancer [differential expression (liver cancer cases vs. normal controls)],CNN2,calponin 2,26931159;28624198;28727484
Homo sapiens,hsa_circRNA_102415,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102436,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],UBL5,ubiquitin like 5,28368401
Homo sapiens,hsa_circRNA_102439,-,hsa_circRNA_102439 (circDNMT1) enhances breast cancer progression by activating autophagy.,DNMT1,DNA methyltransferase 1 ,29973691
Homo sapiens,hsa_circRNA_102442,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],KEAP1,kelch like ECH associated protein 1,28368401
Homo sapiens,hsa_circRNA_102448,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],LDLR,low density lipoprotein receptor,28368401
Homo sapiens,hsa_circRNA_102451,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],LDLR,low density lipoprotein receptor,28368401
Homo sapiens,hsa_circRNA_102459,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],MAST1,microtubule associated serine/threonine kinase 1,28368401
Homo sapiens,hsa_circRNA_102464,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],PKN1,protein kinase N1,28368401
Homo sapiens,hsa_circRNA_102470,-,Leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)],-,-,28677780
Homo sapiens,hsa_circRNA_102485,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)],PGPEP1,pyroglutamyl-peptidase I,28368401;28624198
Homo sapiens,hsa_circRNA_102492,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102509,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102533,chr19:34942885-34957919,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; depatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)],UBA2,ubiquitin like modifier activating enzyme 2,27606420;28710406;28677780
Homo sapiens,hsa_circRNA_102535,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],WTIP,WT1 interacting protein,28368401
Homo sapiens,hsa_circRNA_102550,chr19:41089303-41089623,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102556,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102561,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102564,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102570,chr19:45860527-45860957,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",27465405
Homo sapiens,hsa_circRNA_102571,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102582,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],DHX34,DExH-box helicase 34,28368401
Homo sapiens,hsa_circRNA_102584,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102592,chr19:50720871-50721028,Cell aging [differential expression (C1 (CD28(+)CD8(+) vs. CD28(-)CD8(+)T cells in the elderly) vs. C4 (CD28(-)CD8(+)T cells in the elderly vs. in the adult)];esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],MYH14,myosin heavy chain 14,26451160;27465405;28206972
Homo sapiens,hsa_circRNA_102614,chr2:9490936-9499018,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)],ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",27465405;28206972
Homo sapiens,hsa_circRNA_102615,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102619,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],-,-,26931159;28710406
Homo sapiens,hsa_circRNA_102631,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)],NBAS,neuroblastoma amplified sequence,28368401;28520103
Homo sapiens,hsa_circRNA_102645,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102649,chr2:26587169-26596497,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102650,chr2:26587169-26598016,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102651,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102677,chr2:36623756-36623930,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102679,chr2:36623756-36691798,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102680,chr2:36623756-36706837,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],CRIM1,cysteine rich transmembrane BMP regulator 1,27606420;28368401
Homo sapiens,hsa_circRNA_102682,chr2:36623756-36749456,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102685,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)],CRIM1,cysteine rich transmembrane BMP regulator 1,28368401;28520103
Homo sapiens,hsa_circRNA_102686,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],CRIM1,cysteine rich transmembrane BMP regulator 1,28368401
Homo sapiens,hsa_circRNA_102690,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)],STRN,striatin,28368401;28624198
Homo sapiens,hsa_circRNA_102694,-,Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)],ATL2,atlastin GTPase 2,28349836
Homo sapiens,hsa_circRNA_102704,-,Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)],EML4,echinoderm microtubule associated protein like 4,28349836
Homo sapiens,hsa_circRNA_102720,chr2:55214626-55214834,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],RTN4,reticulon 4,27465405
Homo sapiens,hsa_circRNA_102741,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],WDPCP,WD repeat containing planar cell polarity effector,28368401
Homo sapiens,hsa_circRNA_102765,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102767,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102774,chr2:85625142-85626408,Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)],-,-,27606420
Homo sapiens,hsa_circRNA_102777,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102798,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102810,chr2:121036193-121047333,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],RALB,RAS like proto-oncogene B,27465405
Homo sapiens,hsa_circRNA_102815,-,Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)],-,-,28206972
Homo sapiens,hsa_circRNA_102817,-,Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)],-,-,26931159
Homo sapiens,hsa_circRNA_102825,chr2:135883750-135884226,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,27465405
Homo sapiens,hsa_circRNA_102828,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)],UBXN4,UBX domain protein 4,28368401;28624198
Homo sapiens,hsa_circRNA_102880,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SLC39A10,solute carrier family 39 member 10,28368401
Homo sapiens,hsa_circRNA_102885,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102888,-,Osteoarthritis [differential expression (cartilage affected by osteoarthritis)],-,-,28624198
Homo sapiens,hsa_circRNA_102893,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],-,-,28710406
Homo sapiens,hsa_circRNA_102904,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],KANSL1L,KAT8 regulatory NSL complex subunit 1 like,28368401
Homo sapiens,hsa_circRNA_102908,chr2:215632205-215646233,Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)],BARD1,BRCA1 associated RING domain 1,27465405
Homo sapiens,hsa_circRNA_102919,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],ZNF142,zinc finger protein 142,28368401
Homo sapiens,hsa_circRNA_102922,-,Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)],SGPP2,sphingosine-1-phosphate phosphatase 2,28710406
Homo sapiens,hsa_circRNA_102924,-,Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)],SERPINE2,serpin family E member 2,28368401
