Species,circRNA name,circAltas ID,Uniform ID,Strand,Host gene,Disease_Name,Expression Pattern,PMID,miRNA
human,hsa_circ_0003279,hsa-STK39_0005,"circSTK39(11,12,13,14).1",-,STK39,Hypopharyngeal carcinoma,Downregulated,30365065,unknown
human,hsa_circ_0005882,hsa-STK39_0061,"circSTK39(9,10S,11,12,13,14).1",-,STK39,Pancreatic cancer,Upregulated,31605569,unknown
human,hsa_circ_0004442,hsa-TLK1_0011,"circTLK1(11,12).1",-,TLK1,Renal cell carcinoma,Upregulated,32503552,unknown
human,hsa_circ_0057041,hsa-METTL8_0002,"circMETTL8(4,5).1",-,METTL8,Oral mucosal melanoma,Downregulated,30323971,unknown
human,hsa_circ_0057093,hsa-PDK1_0049,circPDK1(3L).1,+,PDK1,Diabetes retinopathy,Downregulated,29288268,unknown
human,hsa_circ_0057104,hsa-PDK1_0010,"circPDK1(7,8,9,10).1",+,PDK1,Gastric cancer,Downregulated,28831102,unknown
human,circOLA,hsa-OLA1_0001,circOLA1(L5).1,-,OLA1,Breast cancer,Downregulated,29221160,unknown
human,hsa_circ_0004062,hsa-CHN1_0003,circCHN1(L6).1,-,CHN1,Lung cancer,Downregulated,30787976,unknown
human,hsa_circRNA_11017,hsa-TTN_0143,"circTTN(89,90,152,174).1",-,TTN,Rheumatic heart disease,Downregulated,30587718,unknown
human,hsa_circRNA_11058,hsa-TTN_1765,circTTN(153L).3,-,TTN,Rheumatic heart disease,Downregulated,30587718,unknown
human,hsa_circRNA_11109,hsa-TTN_0111,"circTTN(78,135,136,143,144,145).1",-,TTN,Rheumatic heart disease,Downregulated,30587718,unknown
human,cTTN5,hsa-TTN_0103,"circTTN(89,136,143,144,145,150,151).1",-,TTN,Heart failure,unknown,28345158,unknown
human,cTTN2,hsa-TTN_0094,"circTTN(89,90,136,143,144,145).1",-,TTN,Heart failure,unknown,28345158,unknown
human,cTTN1,hsa-TTN_0055,"circTTN(79,80,128,135,136,142,143,144,145).1",-,TTN,Heart failure,unknown,28345158,unknown
human,cTTN4,hsa-TTN_0107,"circTTN(89,115,117,118S,119,120,121,122).1",-,TTN,Heart failure,unknown,28345158,unknown
human,hsa_circ_0057336,unknown,unknown,-,TFPI,Hepatoblastoma,Downregulated,29414822,unknown
human,hsa_circ_0057340,hsa-GULP1_0019,"circGULP1(2,3,4).1",+,GULP1,Osteoporosis,Upregulated,31235259,unknown
human,hsa_circ_0057342,unknown,unknown,+,COL3A1,Keloid,Upregulated,31612410,unknown
human,hsa_circ_0057421,unknown,unknown,unknown,CBC1,Osteoarthritis,Upregulated,31502887,unknown
human,hsa_circ_0057452,unknown,unknown,-,COL5A2,Keloid,Upregulated,31612410,unknown
human,hsa_circ_001587,unknown,unknown,+,TCONS_00003590,Pancreatic cancer,Upregulated,32878470,unknown
human,hsa_circ_0057481,unknown,unknown,+,PMS1,Laryngeal cancer,Upregulated,31933802,unknown
human,hsa_circ_0002024,hsa-NAB1_0001,"circNAB1(4,5,6).1",+,NAB1,Bladder cancer,Downregulated,29151929,unknown
human,hsa_circ_0057518,hsa-GLS_0004,"circGLS(2,3,4,5,6,7).1",+,GLS,Osteosarcoma,Upregulated,30191736,unknown
human,hsa_circ_0006662,hsa-GLS_0007,"circGLS(4,5,6).1",+,GLS,Pancreatic cancer,Downregulated,31605569,unknown
human,hsa_circ_0001085,hsa-GLS_0006,"circGLS(4,5,6,7,8,9,10,11).1",+,GLS,Prostate cancer,Downregulated,31882179,unknown
human,hsa_circ_0057553,hsa-SLC39A10_0004,"circSLC39A10(L6,7).1",+,SLC39A10,Prostate cancer,Upregulated,33177837,unknown
human,hsa_circ_0057558,hsa-SLC39A10_0012,circSLC39A10(4L).2,+,SLC39A10,Prostate cancer,Upregulated,30396163,miR-6884
human,hsa_circ_0057576,hsa-HECW2_0016,"circHECW2(15,19).1",-,HECW2,Coronary artery disease,Upregulated,28947970,unknown
human,hsa_circ_0006571,hsa-SATB2_0010,"circSATB2(7,8,9).1",-,SATB2,Lung cancer,Upregulated,33489803,unknown
human,hsa_circ_0006571,hsa-SATB2_0010,"circSATB2(7,8,9).1",-,SATB2,Uterine leiomyoma,Upregulated,32976932,unknown
human,hsa_circ_0008928,hsa-SATB2_0013,"circSATB2(3,4,5,6,7).1",-,SATB2,Non-small cell lung cancer,Upregulated,33661058,unknown
human,hsa_circ_0003915,hsa-SATB2_0001,"circSATB2(3,4,5,6).1",-,SATB2,Coronary heart disease,Downregulated,32043895,unknown
human,hsa_circ_0006101,hsa-ORC2_0002,"circORC2(8,9,14,15).1",-,ORC2,Osteosarcoma,Upregulated,31103262,unknown
human,hsa_circ_0057762,unknown,unknown,+,STRADB,Systemic lupus erythematosus,Downregulated,30628013,unknown
human,hsa_circ_0000981/hsa_circ_001506,unknown,unknown,-,LAPTM4A,Breast cancer,Downregulated,28744405,unknown
human,hsa_circ_0057799,hsa-BMPR2_0005,"circBMPR2(L6,7).1",+,BMPR2,Endometriosis,Upregulated&nbsp;,33090019,unknown
human,hsa_circRNA_0003218,hsa-BMPR2_0001,"circBMPR2(2S,3).1",unknown,BMPR2,Breast cancer,Downregulated,31302495,unknown
human,hsa_circ_0008172,hsa-PARD3B_0001,"circPARD3B(11,12,S13,14,15).1",+,PARD3B,Osteoarthritis,Downregulated,31190410,unknown
human,hsa_circ_0001095,hsa-PLEKHM3_0001,circPLEKHM3(3).1,-,PLEKHM3,Ovarian cancer,Downregulated,31623606,unknown
human,hsa_circ_0002271,hsa-LDAH_0008,"circLDAH(3,4).1",-,C2orf43,Thoracic aortic dissection,Upregulated,29137225,unknown
human,hsa_circ_0002617,hsa-KANSL1L_0010,"circKANSL1L(S2,S2,3,4).1",-,2orf67,Hypopharyngeal carcinoma,Upregulated,30365065,unknown
human,circRNA7673,hsa-FN1_0036,"circFN1(34,40S).1",-,FN1,Esophageal cancer,Upregulated,29218114,unknown
human,circRNA7674,hsa-FN1_0008,"circFN1(26,27,38,39).1",-,FN1,Esophageal cancer,Upregulated,29218114,unknown
human,circRNA7675,unknown,unknown,-,FN1,Esophageal cancer,Upregulated,29218114,unknown
human,circRNA7676,hsa-FN1_0068,circFN1(23L).1,-,FN1,Esophageal cancer,Upregulated,29218114,unknown
human,circRNA7679,unknown,unknown,-,FN1,Esophageal cancer,Upregulated,29218114,unknown
human,hsa_circ_0001098,hsa-BARD1_0006,"circBARD1(4,5,6).1",-,BARD1,Breast cancer,Upregulated,30521417,unknown
human,hsa_circ_0058058,hsa-ATIC_0018,"circATIC(L4,5,6).1",+,ATIC,Esophageal cancer,Downregulated,27465405,unknown
human,hsa_circ_0058058,hsa-ATIC_0018,"circATIC(L4,5,6).1",+,ATIC,Acute myeloid leukemia,Upregulated,28282919,unknown
human,hsa_circ_0058058,hsa-ATIC_0018,"circATIC(L4,5,6).1",+,ATIC,Non-obstructive azoospermia,Upregulated,31775841,unknown
human,hsa_circ_0058063,hsa-ATIC_0034,"circATIC(2,3,4,5,6,7,8,9,10,11,12,13,14,15).1",+,ATIC,Bladder cancer,Upregulated,32181485,unknown
human,hsa_circ_0058092,hsa-FN1_0008,"circFN1(26,27,38,39).1",-,FN1,Gastric cancer,Upregulated,31669641,unknown
human,hsa_circ_0058097,unknown,unknown,-,FN1,Parathyroid adenoma,Downregulated,30598042,unknown
human,hsa_circ_0058097,unknown,unknown,-,FN1,Endplate cartilage degeneration,Upregulated,31222836,unknown
human,hsa_circ_0058097,unknown,unknown,-,FN1,Gastric cancer,Upregulated,31182928,unknown
human,hsa_circ_0058106,hsa-FN1_0013,circFN1(32L).1,-,FN1,Hypopharyngeal carcinoma,Upregulated,28514762,"miR-185-3p, miR-4638-3p"
human,hsa_circ_0058124,hsa-FN1_0343,"circFN1(15,16,17,18,19).1",-,FN1,Papillary thyroid carcinoma,Upregulated,31324198,unknown
human,hsa_circ_0058147,hsa-FN1_0194,circFN1(S10).1,-,FN1,Gastric cancer,Upregulated,31898357,unknown
human,hsa_circ_0006774,hsa-IGFBP5_0001,"circIGFBP5(2,3).1",-,IGFBP5,Glioblastoma,Upregulated,29967262,unknown
human,hsa_circ_0058230,hsa-PNKD_0002,"circPNKD(3,4,7).1",+,PNKD,Gastric cancer,Upregulated,31182928,unknown
human,hsa_circ_0058246,hsa-VIL1_0014,circVIL1(19).1,+,VIL1,Gastric cancer,Upregulated,28639908,unknown
human,hsa_circ_0058357,unknown,unknown,-,ATG9A,Non-small cell lung cancer,Upregulated,33880595,unknown
human,hsa_circ_0008365,hsa-SERPINE2_0002,"circSERPINE2(2,3,4).1",-,SERPINE2,Gastric cancer,Upregulated,31199037,unknown
human,hsa_circ_0008365,hsa-SERPINE2_0002,"circSERPINE2(2,3,4).1",-,SERPINE2,Osteoarthritis,Downregulated,30923232,"miR-1271-5p,miR-495"
human,hsa_circ_0001103,hsa-SERPINE2_0001,"circSERPINE2(2,3).1",-,SERPINE2,Osteoarthritis,Downregulated,30923232,unknown
human,hsa_circ_0008309,hsa-CUL3_0001,"circCUL3(2,3).1",-,CUL3,Gastric cancer,Upregulated,33230436,unknown
human,hsa_circ_0008309,hsa-CUL3_0001,"circCUL3(2,3).1",-,CUL3,Oral squamous cell carcinoma,Downregulated,30344795,"miR-136-5P, miR-382-5P"
human,hsa_circ_0058514,hsa-AGFG1_0001,"circAGFG1(2,3,4,5).1",+,AGFG1,Cervical cancer,Upregulated,31703640,unknown
human,hsa_circ_0058514,hsa-AGFG1_0001,"circAGFG1(2,3,4,5).1",+,AGFG1,Non-small cell lung cancer,Upregulated,31243884,unknown
human,hsa_circ_0058514,hsa-AGFG1_0001,"circAGFG1(2,3,4,5).1",+,AGFG1,Triple negative breast cancer,Upregulated,30621700,unknown
human,hsa_circ_0001105,unknown,unknown,+,SP140,Osteosarcoma,Downregulated,32161468,unknown
human,hsa_circ_0003922,hsa-SP100_0001,"circSP100(3,4,5,6,L7,L8).1",+,SP100,Lupus nephritis,Upregulated,29499937,unknown
human,hsa_circ_0058766,hsa-DGKD_0029,"circDGKD(6,7,8).1",+,DGKD,Gastric cancer,Downregulated,28831102,unknown
human,hsa_circ_0058792,hsa-AGAP1_0006,"circAGAP1(2,3,4,5,6).1",+,AGAP1,Clear cell renal cell carcinoma,Upregulated,33618745,unknown
human,hsa_circ_0006401,hsa-COL6A3_0001,circCOL6A3(42L).1,-,COL6A3,Gastric cancer,Upregulated,31122696,unknown
human,hsa_circ_0058819,unknown,unknown,-,COL6A3,Gastric cancer,Upregulated,31786464,unknown
human,hsa_circ_0058830,unknown,unknown,-,COL6A3,Gastric cancer,Upregulated,31786464,unknown
human,hsa_circ_0058919,hsa-NDUFA10_0002,"circNDUFA10(2,3,4,6,7,8,9).1",-,NDUFA10,Steroid-induced osteonecrosis of the femoral head,Upregulated,31827647,unknown
human,circRNA4882,unknown,unknown,unknown,-,Lung cancer,Downregulated,29207642,unknown
human,hsa_circ_0053277,unknown,unknown,+,NRBP1,Colorectal cancer,Upregulated,31549406,unknown
human,hsa_circ_0007385,hsa-DPY30_0005,circMEMO1(6L).3,-,MEMO1,Non-small cell lung cancer,Upregulated,29372377,"miR-181,miR-519d-3p"
human,hsa_circ_0053743,unknown,unknown,+,BIRC6,Facet joint osteoarthritis,Upregulated,29470979,unknown
human,hsa_circ_0003288,hsa-BIRC6_0077,"circBIRC6(36,37,40,43,44,45).1",+,BIRC6,Hepatocellular carcinoma,Upregulated,30931701,"miR-3918, miR-145"
human,hsa_circ_0003288,hsa-BIRC6_0077,"circBIRC6(36,37,40,43,44,45).1",+,BIRC6,Non-small cell lung cancer,Upregulated,33177288,unknown
human,hsa_circ_0053772,unknown,unknown,+,BIRC6,Renal cell carcinoma,Upregulated,31497210,unknown
human,hsa_circ_0053919,unknown,unknown,+,LTBP1,Heart failure,Upregulated,31991759,unknown
human,hsa_circ_0119872,hsa-RASGRP3_0005,"circRASGRP3(2,3).1",+,RASGRP3,Uveal melanoma,Upregulated,33579337,unknown
human,hsa_circ_0119873,hsa-RASGRP3_0009,"circRASGRP3(8,9,10,11).1",+,RASGRP3,Uveal melanoma,Upregulated,30700934,hsa-miR-92a-3p hsa-miR-193a-5p hsa-miR-204-3p
human,hsa_circ_0006294,hsa-CRIM1_0033,circCRIM1(L2).4,+,CRIM1,Hepatocellular carcinoma,Downregulated,32226514,unknown
human,hsa_circ_0002346,hsa-CRIM1_0018,"circCRIM1(2,3,4).1",+,CRIM1,Lung cancer,Downregulated,31301086,unknown
human,hsa_circ_0002346,hsa-CRIM1_0018,"circCRIM1(2,3,4).1",+,CRIM1,Nasopharyngeal carcinoma,Upregulated,32061262,unknown
human,hsa_circ_0005442,hsa-CRIM1_0007,"circCRIM1(2,5,13).1",+,CRIM1,Preeclampsia,Upregulated,27606420,unknown
human,hsa_circ_0007386,hsa-CRIM1_0001,"circCRIM1(3,4).1",+,CRIM1,Cervical cancer,Upregulated,28080204,unknown
human,hsa_circ_0007386,hsa-CRIM1_0001,"circCRIM1(3,4).1",+,CRIM1,Thoracic aortic dissection,Downregulated,29137225,unknown
human,hsa_circ_0000993,hsa-ATL2_0001,"circATL2(3,4).1",-,ATL2,Gastric cancer,Downregulated,30215537,unknown
human,circRNA4406,unknown,unknown,unknown,-,Lung cancer,Downregulated,29207642,mir-582-5p
human,hsa_circ_0054211,hsa-MAP4K3_0082,"circMAP4K3(5,6,7,8).1",-,MAP4K3,Multiple system atrophy,Upregulated,27470294,unknown
human,hsa_circ_0000994,hsa-SLC8A1_0015,circSLC8A1(2).1,-,SLC8A1,Bladder cancer,Downregulated,31228937,unknown
human,hsa_circ_10435,hsa-SLC8A1_0015,circSLC8A1(2).1,-,SLC8A1,Glioblastoma,Unclear,26873924,unknown
human,hsa_circ_0000994,hsa-SLC8A1_0015,circSLC8A1(2).1,-,SLC8A1,Nonfunctioning pituitary adenomas,Upregulated,30721952,unknown
human,hsa_circ_0054345,hsa-LRPPRC_0026,"circLRPPRC(28,30).1",-,LRPPRC,Radiation-induced liver fibrosis,Upregulated,28774651,unknown
human,hsa_circ_0004916,hsa-PPM1B_0004,"circPPM1B(2,3).1",+,PPM1B,Prostate cancer,Downregulated,31882179,unknown
human,hsa_circ_0001001,hsa-FBXO11_0004,"circFBXO11(8,L9,RI,10,11).1",-,FBXO11,Hepatocellular carcinoma,Upregulated,32222024,unknown
human,hsa_circ_0003959,unknown,unknown,-,ASB3,Retinoblastoma,Downregulated,30917906,unknown
human,hsa_circ_0054537,unknown,unknown,-,PSME4,Coronary artery disease,Upregulated,28947970,unknown
human,hsa_circ_0054537,unknown,unknown,-,PSME4,Renal cell carcinoma,Upregulated,32464246,unknown
human,hsa_circ_0005779,hsa-PSME4_0109,"circPSME4(28,29,30,31,32,33,34).1",-,PSME4,Glioblastoma,Downregulated,32001271,unknown
human,hsa_circ_0001006,hsa-RTN4_0001,"circRTN4(4,5).1",-,RTN4,Breast cancer,Upregulated,30810051,unknown
human,circRTN4,hsa-RTN4_0001,"circRTN4(4,5).1",unknown,RTN4,Colon cancer,Downregulated,27892494,unknown
human,hsa_circ_0054633,unknown,unknown,-,PNPT1,Acute lung injury,Upregulated,32950633,unknown
human,hsa_circ_0054633,unknown,unknown,-,PNPT1,Gestational diabetes mellitus,Upregulated,30736847,unknown
human,hsa_circ_0054633,unknown,unknown,-,PNPT1,Type2 diabetes mellitus,Upregulated,27878383,unknown
human,hsa_circ_0054652,hsa-EFEMP1_0003,"circEFEMP1(10,RI,11).1",-,EFEMP1,Intervertebral disc degeneration,Upregulated,31056633,"miR-7160-5p, miR-642b-3p, miR-642a-3p, miR-514a-3p, and miR-514b-3p"
human,hsa_circ_0054657,unknown,unknown,-,EFEMP1,Intervertebral disc degeneration,Upregulated,31056633,"miR-4527, miR-6503-5p, miR-6795-3p, miR-1249-5p, miR-210-3p"
human,hsa_circ_0054659,unknown,unknown,-,EFEMP1,Intervertebral disc degeneration,Upregulated,31056633,"miR-6797-5p, miR-656-5p, miR-1249-5p, miR-6515-5p, miR-8064"
human,hsa_circ_0054660,unknown,unknown,-,EFEMP1,Intervertebral disc degeneration,Upregulated,31056633,"miR-656-5p, miR-8064, miR-6893-3p, miR-370-3p, miR-3692-5p"
human,hsa_circ_0054660,unknown,unknown,-,EFEMP1,Uterine leiomyoma,Downregulated,32976932,unknown
human,hsa_circ_0005577,hsa-FANCL_0001,"circFANCL(2,3,4L,5).1",-,FANCL,Bronchopulmonary dysplasia,Upregulated,32091150,unknown
human,hsa_circ_0001009,hsa-FANCL_0001,"circFANCL(2,3,4L,5).1",-,FANCL,Glioblastoma,Upregulated,31511040,unknown
human,hsa_circ_000684,hsa-KIAA1841_0069,"circSANBR(L17,18,19,L20).1",+,KIAA1841,Pancreatic cancer,Downregulated,33563550,unknown
human,hsa_circ_0054722,unknown,unknown,-,USP34,Nonfunctioning pituitary adenomas,Upregulated,29909209,unknown
human,hsa_circRNA_102736,hsa-XPO1_0002,"circXPO1(L3,4).1",unknown,XPO1,Osteosarcoma,Upregulated&nbsp;,33091396,unknown
human,hsa_circ_0001017/hsa_circ_002020,hsa-XPO1_0001,"circXPO1(2,3,4).1",-,XPO1,Gastric cancer,Downregulated,29098316,unknown
human,circ_CCT4,hsa-CCT4_0007,"circCCT4(3,4,5,10,11,12).1",-,CCT4,Temporal Lobe Epilepsy,unknown,29428937,unknown
human,hsa_circ_0005552,hsa-EHBP1_0007,"circEHBP1(15,16,17,18,19).1",+,EHBP1,Bladder cancer,Upregulated,33545359,unknown
human,hsa_circ_0054971,hsa-SLC1A4_0002,"circSLC1A4(2,L3,4).1",+,SLC1A4,Gastric cancer,Downregulated,28831102,unknown
human,hsa_circ_0001022,hsa-ACTR2_0008,circACTR2(L3).1,+,ACTR2,Renal cell carcinoma,Upregulated,31476285,unknown
human,hsa_circ_0008529,hsa-ACTR2_0001,"circACTR2(3,8).1",+,ACTR2,Diabetic nephropathy,Upregulated,32115515,unknown
human,hsa_circ_0008529,hsa-ACTR2_0001,"circACTR2(3,8).1",+,ACTR2,Systemic lupus erythematosus,Upregulated,32093518,unknown
human,hsa_circ_0120816,hsa-GFPT1_0001,"circGFPT1(10L,11,12).2",-,GFPT1,Esophageal cancer,Upregulated,33292234,unknown
human,2_72718102_72733118_-,hsa-EXOC6B_0002,"circEXOC6B(L3,4,5,6).1",-,unknown,Hypertrophic scar,Downregulated,30320389,unknown
human,hsa_circ_0009043,hsa-EXOC6B_0002,"circEXOC6B(L3,4,5,6).1",-,EXOC6B,Ovarian cancer,Downregulated,30272264,unknown
human,hsa_circ_0009043,hsa-EXOC6B_0002,"circEXOC6B(L3,4,5,6).1",-,EXOC6B,Endometrial cancer,Downregulated,31308756,unknown
human,hsa_circ_0006251,hsa-TET3_0001,circTET3(4S).1,+,TET3,Coronary heart disease,Upregulated,32043895,unknown
human,hsa_circ_0055377,hsa-CTNNA2_0015,"circCTNNA2(10,11,12).1",+,CTNNA2,Thoracic aortic dissection,Upregulated,29137225,unknown
human,hsa_circ_0055408,unknown,unknown,-,CAPG,Renal cell carcinoma,Upregulated,31497210,unknown
human,hsa_circ_0001038,hsa-POLR1A_0015,circPOLR1A(8L).2,-,POLR1A,Cervical cancer,Upregulated,31809842,unknown
human,hsa_circ_0055538,unknown,unknown,+,RMND5A,Oral squamous cell carcinoma,Downregulated,30857544,unknown
human,hsa_circ_0007334,hsa-MBOAT2_0001,"circMBOAT2(2,3).1",unknown,MBOAT2,Colorectal cancer,Upregulated&nbsp;,32796815,unknown
human,hsa_circ_0007334,hsa-MBOAT2_0001,"circMBOAT2(2,3).1",-,MBOAT2,Prostate cancer,Upregulated,32645691,unknown
human,hsa_circ_0007334,hsa-MBOAT2_0001,"circMBOAT2(2,3).1",-,MBOAT2,Pancreatic cancer,Upregulated,31428151,unknown
human,hsa_circ_0005085/hsa_circRNA_102612,hsa-ASAP2_0001,"circASAP2(2,3).1",+,ASAP2,Basal cell carcinoma,Downregulated,27097056,unknown
human,hsa_circ_0002362,hsa-ASAP2_0002,"circASAP2(4L,5,6,7).1",+,ASAP2,Pulmonary tuberculosis,Upregulated,29248507,unknown
human,hsa_circ_0008768,hsa-ASAP2_0011,"circASAP2(12,13,14,15,16).1",+,ASAP2,Gastric cancer,Upregulated,33284890,unknown
human,hsa_circ_0055625,unknown,unknown,-,DUSP2,Colon cancer,Upregulated,30520100,unknown
human,hsa_circ_0055724,unknown,unknown,+,ANKRD36,Preeclampsia,Downregulated,29643944,unknown
human,hsa_circ_0059655,unknown,unknown,+,PYGB,Salivary adenoid cystic carcinoma,Upregulated,30672444,unknown
human,hsa_circ_0059665,unknown,unknown,-,ABHD12,Acute pancreatitis,Downregulated,32149089,unknown
human,hsa_circ_0004812,hsa-NINL_0001,"circNINL(9,10).1",-,NINL,Chronic hepatitis B,Upregulated,32188476,unknown
human,circMIR663A,unknown,unknown,unknown,MIR663A,Prostate cancer,Upregulated,30416748,unknown
human,hsa_circ_0006117,hsa-PTPRA_0004,"circPTPRA(4,5).1",+,PTPRA,Bladder cancer,Downregulated,31821171,unknown
human,hsa_circ_0006117,hsa-PTPRA_0004,"circPTPRA(4,5).1",+,PTPRA,Non-small cell lung cancer,Downregulated,31160270,unknown
human,hsa_circ_0001135,hsa-TPX2_0011,circTPX2(3L).1,+,TPX2,Breast cancer,unknown,28933584,"miR-135b-3p,miR-298,miR-485-3p,miR-182-5p,miR-593-5p"
human,chr20:31876585–31897648,unknown,unknown,unknown,BPIFB1,Laryngeal cancer,Downregulated,29716593,unknown
human,hsa_circ_0008532,hsa-CBFA2T2_0001,"circCBFA2T2(4,5,6,7,8).1",+,CBFA2T2,Bladder cancer,Upregulated,32460831,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",+,ITCH,Bladder cancer,Downregulated,29386015,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Cervical cancer,Downregulated,31993998,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",+,ITCH,Colorectal cancer,Downregulated,26110611,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Doxorubicin-Induced cardiotoxicity,Upregulated,32392088,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",+,ITCH,Esophageal cancer,Downregulated,25749389,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Gastric cancer,Downregulated,33499704,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",+,ITCH,Lung cancer,Downregulated,27642589,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Melanoma,Downregulated,31403357,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Ovarian cancer,Downregulated,32046413,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Papillary thyroid carcinoma,Downregulated,30190130,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Prostate cancer,Downregulated,31827402,unknown
human,circ_ITCH,hsa-AL109923_0020,"circITCH(6,7,8,10,11,12).1",unknown,ITCH,Triple negative breast cancer,Downregulated,30509108,unknown
human,hsa_circ_0059961,unknown,unknown,+,ITCH,Hepatocellular carcinoma,Upregulated,33433806,unknown
human,hsa_circRNA_402565,hsa-EDEM2_0001,circEDEM2(8L).2,unknown,EDEM2,Ventricular septal defect,Downregulated,29910675,unknown
human,hsa_circ_0060055,unknown,unknown,-,EIF6,Pancreatic cancer,Upregulated,33469368,unknown
human,hsa_circ_0060060,unknown,unknown,-,EIF6,Papillary thyroid carcinoma,Upregulated,30540564,unknown
human,hsa_circ_0060063,hsa-UQCC1_0008,"circUQCC1(5,6).1",-,UQCC1,Abdominal aortic aneurysm,Upregulated,32039711,unknown
human,hsa_circ_0060108,unknown,unknown,-,FER1L4,Gastric cancer,Downregulated,28831102,unknown
human,hsa_circ_0004870,hsa-RBM39_0015,"circRBM39(7,8,L9,10,11).1",-,RBM39,Prostate cancer,Downregulated,31341219,unknown
human,hsa_circRNA_103047,hsa-PHF20_0040,"circPHF20(2,7,8,9).1",+,PHF20,Rheumatoid arthritis,unknown,28618429,unknown
human,hsa_circ_0060180,hsa-DLGAP4_0001,circDLGAP4(8L).1,+,DLGAP4,Parkinson's disease,Downregulated,31761328,unknown
human,hsa_circ_0006873,hsa-PANK2_0004,"circPANK2(L3,4).1",+,PANK2,Osteoporosis,Upregulated,31056800,unknown
human,hsa_circ_0060428,unknown,unknown,+,SRSF6,Osteosarcoma,Upregulated,32130980,unknown
human,hsa_circ_0060450,hsa-MYBL2_0001,"circMYBL2(2,3,4,5).1",+,MYBL2,Type 1 diabetes mellitus,Upregulated&nbsp;,33133095,unknown
human,hsa_circ_0006332,hsa-MYBL2_0002,"circMYBL2(8,9).1",+,MYBL2,Acute myeloid leukemia,Upregulated,31387917,unknown
human,hsa_circ_0060467,unknown,unknown,+,MYBL2,Cervical cancer,Upregulated,31819492,unknown
human,hsa_circ_0001162,unknown,unknown,+,MMP9,Glioblastoma,Upregulated,29967262,miR-124
human,hsa_circ_0001162,unknown,unknown,+,MMP9,Oral squamous cell carcinoma,Upregulated,31510782,unknown
human,hsa_circ_0001165,hsa-NCOA3_0008,"circNCOA3(4,6,7,8,9).1",+,NCOA3,Prostate cancer,Upregulated,31882179,unknown
human,hsa_circ_0003998,hsa-ARFGEF2_0060,"circARFGEF2(6,7).1",+,ARFGEF2,Hepatocellular carcinoma,Upregulated,31410028,unknown
human,hsa_circ_0003998,hsa-ARFGEF2_0060,"circARFGEF2(6,7).1",+,ARFGEF2,Non-small cell lung cancer,Upregulated,33511909,unknown
human,hsa_circ_0059354,unknown,unknown,-,RASSF2,Laryngeal cancer,Upregulated,30992382,unknown
human,hsa_circ_0059354,unknown,unknown,-,RASSF2,Papillary thyroid carcinoma,Upregulated,32059341,unknown
human,circRNANCOA3,hsa-NCOA3_0008,"circNCOA3(4,6,7,8,9).1",+,NCOA3,PDLSC osteogenis,unknown,29197342,unknown
human,hsa_circ_0060745,hsa-CSE1L_0018,"circCSE1L(9,10).1",unknown,CSE1L,Colorectal cancer,Upregulated,32273712,unknown
human,hsa_circ_0008675,hsa-ZNFX1_0002,circZNFX1(3S).1,-,ZNFX1,Systemic lupus erythematosus,Upregulated,32940208,unknown
human,hsa_circ_0002168,hsa-TMEM189-UBE2V1_0001,"circPEDS1(3,4,5).1",-,TMEM189-UBE2V1,Breast cancer,unknown,28803498,unknown
human,hsa_circ_0060927,hsa-CYP24A1_0001,"circCYP24A1(3,4,5,10,11).1",-,CYP24A1,Colorectal cancer,Upregulated&nbsp;,32803502,unknown
human,hsa_circ_0060927,hsa-CYP24A1_0001,"circCYP24A1(3,4,5,10,11).1",-,CYP24A1,Uterine leiomyoma,Upregulated,31746073,unknown
human,hsa_circ_0004887,hsa-AURKA_0004,"circAURKA(4,5,6).1",-,AURKA,Colorectal cancer,Upregulated,32115780,unknown
human,hsa_circ_0061012,unknown,unknown,-,SLMO2-ATP5E,Psoriasis,Upregulated,30278433,"hsa-miR-7157-5p, hsa-miR-4769-3p, hsa-miR-6817-5p, hsa-miR-4310, hsa-miR-6882-3p"
human,hsa_circ_0003456,hsa-PSMA7_0001,"circPSMA7(2,L3,4).1",-,PSMA7,Prostate cancer,Downregulated,30416748,unknown
human,hsa_circ_0061052,hsa-OSBPL2_0005,"circOSBPL2(11,12).1",+,OSBPL2,Chronic obstructive pulmonary disease,Upregulated,32768781,unknown
